,majorityvote,boundth7,r_boundth7,div_boundth7,tv_boundth7,boundth6,r_boundth6,div_boundth6,tv_boundth6,majorityvotemax
mnist_1_7_0.01_uniformnoiseiterativefgsm_uniformnoisepgd_1.0_l2_100,0.03501618281006813,1.3676854372024536,0.034723035991191864,0.010275980457663536,0.6023147702217102,0.09392696619033812,0.031719598919153214,0.07714458554983139,-1.0,0.03837263211607933
mnist_1_7_0.01_nothing_uniformnoise_1.0_l2_100,0.004003698471933603,1.3846884965896606,0.005847954656928778,0.005765206646174192,0.6397010684013367,0.023276973515748967,0.004460033494979143,0.12384817749261855,-1.0,0.004623208660632372
mnist_1_7_0.01_uniformnoisepgd_nothing_1.0_l2_100,0.006934812758117914,0.10323884338140488,0.004791125189512968,0.02123743668198585,0.0,0.0241876058280468,0.004771550185978414,0.04926792532205582,-1.0,0.006934812758117914
mnist_1_7_0.01_uniformnoise_uniformnoiseiterativefgsm_1.0_l2_100,0.034687932580709464,1.4052982330322266,0.04596373438835144,0.00499750440940261,0.6098918318748474,0.11411821842193605,0.04022117331624031,0.10256946831941603,-1.0,0.054091539233922965
mnist_1_7_0.01_uniformnoiseiterativefgsm_uniformnoiseiterativefgsm_1.0_l2_100,0.013522884808480741,1.3285914659500122,0.014637387357652187,0.010275980457663536,0.6028534173965454,0.04853101074695587,0.013485902920365334,0.07714458554983139,-1.0,0.02080443874001503
mnist_1_7_0.01_uniformnoisepgd_uniformnoiseiterativefgsm_1.0_l2_100,0.015820618718862534,1.3619508743286133,0.012700462713837624,0.02123743668198585,0.6214467287063599,0.04470906406641007,0.012050829827785492,0.04926792532205582,-1.0,0.019417475908994675
mnist_1_7_0.01_uniformnoiseiterativefgsm_uniformnoise_1.0_l2_100,0.006292186677455902,1.4692115783691406,0.0042366646230220795,0.010275980457663536,0.6835642457008362,0.02093922533094883,0.003725892631337047,0.07714458554983139,-1.0,0.006472492124885321
mnist_1_7_0.01_uniformnoisepgd_uniformnoisepgd_1.0_l2_100,0.024530744180083275,1.3892062902450562,0.020890181884169585,0.02123743668198585,0.6268846988677979,0.06421391665935516,0.019604604691267014,0.04926792532205582,-1.0,0.028201572597026825
mnist_1_7_0.01_uniformnoise_nothing_1.0_l2_100,0.004623208660632372,0.100135937333107,0.003274367889389396,0.00499750440940261,0.0,0.019409691914916042,0.003248291788622737,0.10256946831941603,-1.0,0.004623208660632372
mnist_1_7_0.01_uniformnoise_uniformnoise_1.0_l2_100,0.002847896423190832,1.4695197343826294,0.0040961462073028105,0.00499750440940261,0.6838701367378235,0.019511805847287168,0.003279590979218483,0.10256946831941603,-1.0,0.004160887561738491
mnist_1_7_0.01_uniformnoiseiterativefgsm_nothing_1.0_l2_100,0.006934812758117914,0.1017083078622818,0.004049274604767561,0.010275980457663536,0.0,0.021463032811880108,0.0038904694374650717,0.07714458554983139,-1.0,0.006934812758117914
mnist_1_7_0.01_nothing_uniformnoiseiterativefgsm_1.0_l2_100,0.07958391308784485,1.4310297966003418,0.07877549529075623,0.005765206646174192,0.5899441838264465,0.18549621105194086,0.07137671113014221,0.12384817749261855,-1.0,0.10957004129886627
mnist_1_7_0.01_uniformnoisepgd_uniformnoise_1.0_l2_100,0.006019417662173511,1.475544571876526,0.004908106289803982,0.02123743668198585,0.6860359311103821,0.023347768932580948,0.004498437978327274,0.04926792532205582,-1.0,0.006472492124885321
mnist_1_7_0.01_nothing_nothing_1.0_l2_100,0.004623208660632372,0.09999092668294908,0.003200219012796879,0.005765206646174192,0.0,0.019105680286884308,0.003151989309117198,0.12384817749261855,-1.0,0.005085529293864965
mnist_1_7_0.01_uniformnoise_uniformnoisepgd_1.0_l2_100,0.1577484905719757,1.6196470260620115,0.13060005009174347,0.00499750440940261,0.6324298977851868,0.2924475073814392,0.11992409080266953,0.10256946831941603,-1.0,0.18908922374248505
mnist_1_7_0.01_nothing_uniformnoisepgd_1.0_l2_100,0.2758853435516357,1.667028784751892,0.2103481888771057,0.005765206646174192,0.5763709545135498,0.4476449489593506,0.19249410927295685,0.12384817749261855,-1.0,0.3263985216617584
