,boundth7,r_boundth7,div_boundth7,tv_boundth7,majorityvotemax,majorityvote,boundth6,r_boundth6,div_boundth6,tv_boundth6
mnist_1_7_0.01_uniformnoiseiterativefgsm_uniformnoiseiterativefgsm_1_l2_100,0.13084520399570465,0.014245309866964815,0.0061618909239768965,0.004381202161312103,0.018492834642529488,0.012829403392970562,0.03932087868452072,0.010066882707178593,0.0009010570356622338,-1.0
mnist_1_7_0.01_uniformnoisepgd_uniformnoisepgd_1_l2_100,0.14264684915542605,0.021655213087797158,0.07112284749746323,0.002733508357778192,0.024503005668520927,0.021303744986653328,0.06548270583152771,0.02011651173233986,0.03214989975094795,-1.0
mnist_1_7_0.01_uniformnoise_nothing_1_l2_100,0.09915513545274733,0.002788405399769545,0.0029203740414232016,0.0,0.004623208660632372,0.004623208660632372,0.017897903919219967,0.0027965281624346967,0.08443766087293625,-1.0
mnist_1_7_0.01_nothing_uniformnoisepgd_1_l2_100,0.8008008599281311,0.2953082621097565,0.005962505005300045,0.05829649046063424,0.3254738748073578,0.262584388256073,0.5768247842788696,0.2541731894016266,0.13509735465049744,-1.0
mnist_1_7_0.01_uniformnoiseiterativefgsm_uniformnoisepgd_1_l2_100,0.18444976210594166,0.03611345961689949,0.0061618909239768965,0.009315325878560543,0.039759594947099686,0.03254276514053345,0.0858481228351593,0.02840305119752884,0.0009010570356622338,-1.0
mnist_1_7_0.01_nothing_uniformnoiseiterativefgsm_1_l2_100,0.3559599816799164,0.09636764228343964,0.005962505005300045,0.0348166786134243,0.10587147623300552,0.06612575054168701,0.16951526701450348,0.0642794668674469,0.13509735465049744,-1.0
mnist_1_7_0.01_uniformnoisepgd_uniformnoiseiterativefgsm_1_l2_100,0.1250036358833313,0.013456440530717371,0.07112284749746323,0.002110668458044529,0.01803051307797432,0.013421174138784409,0.043413564562797546,0.011571529321372507,0.03214989975094795,-1.0
mnist_1_7_0.01_uniformnoisepgd_uniformnoise_1_l2_100,0.1052420660853386,0.0044362596236169356,0.07112284749746323,0.0012500679586082695,0.006472492124885321,0.005584836006164551,0.021827679127454758,0.004014756064862013,0.03214989975094795,-1.0
mnist_1_7_0.01_uniformnoisepgd_nothing_1_l2_100,0.10241073369979856,0.004270660690963268,0.07112284749746323,0.0,0.00601017102599144,0.00601017102599144,0.02265087887644768,0.004277306608855724,0.03214989975094795,-1.0
mnist_1_7_0.01_uniformnoise_uniformnoiseiterativefgsm_1_l2_100,0.2484220117330551,0.05327437818050385,0.0029203740414232016,0.02414746955037117,0.05594082176685333,0.03142394870519638,0.08761386573314668,0.02909369394183159,0.08443766087293625,-1.0
mnist_1_7_0.01_uniformnoiseiterativefgsm_uniformnoise_1_l2_100,0.10308515280485152,0.0036444510333240032,0.0061618909239768965,0.0011020345846191046,0.006472492124885321,0.006070272997021675,0.01928044855594635,0.003227381268516183,0.0009010570356622338,-1.0
mnist_1_7_0.01_nothing_uniformnoise_1_l2_100,0.10517984628677368,0.004716827534139156,0.005962505005300045,0.0010774335823953152,0.004623208660632372,0.004003698471933603,0.022089220583438873,0.004077338147908449,0.13509735465049744,-1.0
mnist_1_7_0.01_nothing_nothing_1_l2_100,0.098540298640728,0.002474487526342273,0.005962505005300045,0.0,0.004623208660632372,0.004623208660632372,0.01658892259001732,0.0024055363610386853,0.13509735465049744,-1.0
mnist_1_7_0.01_uniformnoise_uniformnoisepgd_1_l2_100,0.5312967300415039,0.18024536967277527,0.0029203740414232016,0.03861384093761444,0.19047619402408605,0.1506703644990921,0.3550722599029541,0.14899003505706787,0.08443766087293625,-1.0
mnist_1_7_0.01_uniformnoiseiterativefgsm_nothing_1_l2_100,0.10006283223628998,0.003235324053093791,0.0061618909239768965,0.0,0.006472492124885321,0.006472492124885321,0.01932552084326744,0.0032410945277661085,0.0009010570356622338,-1.0
mnist_1_7_0.01_uniformnoise_uniformnoise_1_l2_100,0.10456602275371553,0.003982769791036843,0.0029203740414232016,0.0015110777458176015,0.004160887561738491,0.002852519741281867,0.018921509385108948,0.0031032050028443336,0.08443766087293625,-1.0
